Time,Event,Symbol,Bid,Ask
1483394956,TICK,AUDJPYi,84.40400,84.44400
1483394963,TICK,EURUSDi,1.04545,1.04609
1483394960,TICK,EURAUDi,1.45434,1.45604
1483394960,TICK,GBPAUDi,1.70752,1.71011
1483394977,TICK,EURUSDi,1.04548,1.04609
1483394973,TICK,EURJPYi,122.77200,122.88700
1483394971,TICK,AUDJPYi,84.40000,84.44400
1483394971,TICK,USDJPYi,117.44100,117.47300
1483394980,TICK,EURUSDi,1.04551,1.04609
1483394980,TICK,EURJPYi,122.78000,122.88700
1483394978,TICK,AUDJPYi,84.40100,84.43300
1483394977,TICK,USDJPYi,117.44300,117.46900
1483394984,TICK,EURUSDi,1.04555,1.04613
1483394982,TICK,EURJPYi,122.78500,122.89700
1483394983,TICK,AUDJPYi,84.40200,84.43800
1483394982,TICK,USDJPYi,117.44300,117.47600
1483394988,TICK,EURUSDi,1.04557,1.04626
1483394988,TICK,EURGBPi,0.85164,0.85186
1483394988,TICK,GBPUSDi,1.22764,1.22826
1483394988,TICK,EURJPYi,122.78800,122.90500
1483394984,TICK,AUDJPYi,84.40100,84.43800
1483394988,TICK,EURAUDi,1.45457,1.45619
1483394986,TICK,USDJPYi,117.44300,117.46900
1483394988,TICK,USDCHFi,1.02300,1.02405
1483394989,TICK,EURUSDi,1.04555,1.04626
1483394989,TICK,GBPUSDi,1.22764,1.22864
1483394989,TICK,EURJPYi,122.78300,122.90500
1483394989,TICK,USDCHFi,1.02300,1.02398
1483394996,TICK,EURUSDi,1.04555,1.04616
1483394996,TICK,EURJPYi,122.78400,122.89200
1483394995,TICK,AUDJPYi,84.40200,84.43100
1483394993,TICK,USDCADi,1.34454,1.34503
1483394996,TICK,USDJPYi,117.44300,117.47000
1483394996,TICK,EURGBPi,0.85164,0.85211
1483394996,TICK,USDCHFi,1.02293,1.02405
1483394996,TICK,EURAUDi,1.45457,1.45629
1483394999,TICK,EURUSDi,1.04555,1.04618
1483394999,TICK,EURJPYi,122.78700,122.89400
1483394997,TICK,USDCHFi,1.02300,1.02398
1483395002,TICK,EURUSDi,1.04555,1.04619
1483395000,TICK,AUDUSDi,0.71865,0.71888
1483395002,TICK,EURAUDi,1.45440,1.45617
1483395002,TICK,USDCADi,1.34454,1.34503
1483395000,TICK,GBPCADi,1.64993,1.65279
1483395001,TICK,GBPAUDi,1.70753,1.71015
1483395003,TICK,EURUSDi,1.04555,1.04618
1483395003,TICK,EURJPYi,122.79600,122.89400
1483395003,TICK,AUDJPYi,84.40000,84.43100
1483395003,TICK,USDJPYi,117.44500,117.46800
1483395004,TICK,EURUSDi,1.04551,1.04618
1483395004,TICK,AUDUSDi,0.71864,0.71888
1483395004,TICK,EURJPYi,122.77600,122.89400
1483395004,TICK,AUDJPYi,84.39900,84.43100
1483395004,TICK,USDCADi,1.34454,1.34493
1483395007,TICK,EURUSDi,1.04552,1.04619
1483395006,TICK,EURJPYi,122.77300,122.89400
1483395006,TICK,USDCADi,1.34454,1.34494
1483395011,TICK,EURUSDi,1.04556,1.04619
1483395010,TICK,AUDUSDi,0.71864,0.71887
1483395011,TICK,EURJPYi,122.78400,122.89600
1483395010,TICK,AUDJPYi,84.39000,84.43100
1483395011,TICK,USDCADi,1.34454,1.34501
1483395011,TICK,GBPAUDi,1.70753,1.70993
1483395017,TICK,EURUSDi,1.04557,1.04619
1483395016,TICK,AUDJPYi,84.39700,84.43100
1483395016,TICK,USDCHFi,1.02312,1.02398
1483395018,TICK,EURUSDi,1.04558,1.04619
1483395017,TICK,EURJPYi,122.79400,122.89500
1483395018,TICK,USDCHFi,1.02317,1.02398
1483395019,TICK,EURUSDi,1.04557,1.04619
1483395018,TICK,EURJPYi,122.79500,122.90500
1483395019,TICK,AUDJPYi,84.39400,84.44400
1483395018,TICK,USDCADi,1.34454,1.34506
1483395019,TICK,USDJPYi,117.44300,117.47800
1483395020,TICK,EURUSDi,1.04551,1.04619
1483395020,TICK,EURAUDi,1.45445,1.45607
1483395020,TICK,USDCADi,1.34454,1.34504
1483395020,TICK,GBPAUDi,1.70768,1.70993
1483395026,TICK,EURUSDi,1.04560,1.04619
1483395021,TICK,GBPUSDi,1.22764,1.22859
1483395024,TICK,AUDUSDi,0.71864,0.71887
1483395025,TICK,EURJPYi,122.79900,122.90700
1483395026,TICK,AUDJPYi,84.39800,84.44500
1483395025,TICK,USDJPYi,117.44400,117.47800
1483395025,TICK,USDCHFi,1.02310,1.02408
1483395028,TICK,EURUSDi,1.04568,1.04624
1483395027,TICK,USDCHFi,1.02307,1.02408
1483395029,TICK,EURUSDi,1.04552,1.04624
1483395029,TICK,USDJPYi,117.45300,117.47800
1483395029,TICK,USDCHFi,1.02307,1.02399
1483395033,TICK,EURUSDi,1.04559,1.04626
1483395032,TICK,EURGBPi,0.85140,0.85186
1483395031,TICK,EURAUDi,1.45456,1.45607
1483395032,TICK,USDJPYi,117.43800,117.47800
1483395030,TICK,USDCHFi,1.02305,1.02399
1483395033,TICK,EURAUDi,1.45456,1.45625
1483395060,TICK,EURUSDi,1.04559,1.04624
1483395034,TICK,EURGBPi,0.85138,0.85186
1483395060,TICK,EURJPYi,122.83600,122.92000
1483395057,TICK,AUDJPYi,84.40800,84.45200
1483395037,TICK,EURAUDi,1.45454,1.45625
1483395053,TICK,USDCADi,1.34454,1.34502
1483395046,TICK,USDJPYi,117.44700,117.48800
1483395047,TICK,USDCHFi,1.02311,1.02399
1483395061,TICK,EURUSDi,1.04559,1.04626
1483395061,TICK,GBPUSDi,1.22767,1.22827
1483395061,TICK,AUDUSDi,0.71856,0.71868
1483395061,TICK,AUDJPYi,84.39800,84.44600
1483395060,TICK,EURAUDi,1.45473,1.45644
1483395060,TICK,USDCADi,1.34454,1.34494
1483395060,TICK,USDJPYi,117.45800,117.48800
1483395060,TICK,GBPCADi,1.65005,1.65256
1483395061,TICK,AUDCADi,0.96613,0.96666
1483395060,TICK,GBPAUDi,1.70792,1.71014
1483395062,TICK,EURUSDi,1.04559,1.04624
1483395062,TICK,GBPUSDi,1.22767,1.22830
1483395062,TICK,EURJPYi,122.84600,122.93500
1483395062,TICK,AUDJPYi,84.39800,84.44200
1483395062,TICK,USDCADi,1.34454,1.34499
1483395062,TICK,USDJPYi,117.47000,117.48800
1483395062,TICK,AUDCADi,0.96613,0.96661
1483395062,TICK,USDCHFi,1.02302,1.02399
1483395063,TICK,EURUSDi,1.04559,1.04623
1483395063,TICK,GBPUSDi,1.22767,1.22843
1483395063,TICK,EURJPYi,122.85000,122.93500
1483395063,TICK,USDCADi,1.34460,1.34549
1483395063,TICK,USDJPYi,117.46800,117.48800
1483395063,TICK,GBPCADi,1.65039,1.65288
1483395063,TICK,AUDCADi,0.96613,0.96687
1483395063,TICK,USDCHFi,1.02305,1.02399
1483395065,TICK,EURUSDi,1.04559,1.04618
1483395065,TICK,EURGBPi,0.85138,0.85184
1483395065,TICK,GBPUSDi,1.22767,1.22846
1483395065,TICK,EURJPYi,122.84800,122.91000
1483395065,TICK,AUDJPYi,84.39900,84.43600
1483395065,TICK,USDCADi,1.34498,1.34529
1483395064,TICK,USDJPYi,117.46100,117.48800
1483395065,TICK,GBPCADi,1.65081,1.65336
1483395065,TICK,AUDCADi,0.96608,0.96682
1483395065,TICK,USDCHFi,1.02309,1.02399
1483395063,TICK,GBPAUDi,1.70792,1.71013
1483395067,TICK,EURUSDi,1.04559,1.04619
1483395067,TICK,GBPUSDi,1.22767,1.22851
1483395067,TICK,EURJPYi,122.84100,122.91000
1483395067,TICK,USDCADi,1.34512,1.34527
1483395067,TICK,USDJPYi,117.45900,117.48800
1483395066,TICK,GBPCADi,1.65094,1.65309
1483395067,TICK,AUDCADi,0.96623,0.96681
1483395067,TICK,USDCHFi,1.02308,1.02397
1483395067,TICK,GBPAUDi,1.70792,1.71016
1483395071,TICK,EURUSDi,1.04559,1.04622
1483395070,TICK,GBPUSDi,1.22766,1.22850
1483395071,TICK,AUDUSDi,0.71866,0.71885
1483395069,TICK,EURJPYi,122.84600,122.91000
1483395071,TICK,AUDJPYi,84.40300,84.45400
1483395069,TICK,EURAUDi,1.45453,1.45624
1483395069,TICK,USDCADi,1.34503,1.34518
1483395069,TICK,USDJPYi,117.46900,117.48800
1483395071,TICK,GBPCADi,1.65089,1.65307
1483395071,TICK,AUDCADi,0.96648,0.96691
1483395069,TICK,USDCHFi,1.02310,1.02397
1483395070,TICK,GBPAUDi,1.70767,1.71002
1483395079,TICK,EURUSDi,1.04559,1.04621
1483395071,TICK,GBPUSDi,1.22766,1.22850
1483395072,TICK,AUDUSDi,0.71866,0.71884
1483395078,TICK,EURJPYi,122.84100,122.91000
1483395074,TICK,AUDJPYi,84.40900,84.45400
1483395075,TICK,USDCADi,1.34438,1.34502
1483395075,TICK,USDJPYi,117.45900,117.48800
1483395075,TICK,GBPCADi,1.65027,1.65273
1483395077,TICK,AUDCADi,0.96613,0.96686
1483395077,TICK,USDCHFi,1.02307,1.02397
1483395076,TICK,GBPAUDi,1.70767,1.70994
1483395087,TICK,EURUSDi,1.04559,1.04630
1483395087,TICK,EURGBPi,0.85138,0.85186
1483395081,TICK,GBPUSDi,1.22765,1.22850
1483395087,TICK,AUDUSDi,0.71866,0.71889
1483395087,TICK,EURJPYi,122.84500,122.91500
1483395079,TICK,AUDJPYi,84.41100,84.45400
1483395086,TICK,USDCADi,1.34438,1.34542
1483395087,TICK,USDJPYi,117.46000,117.48800
1483395086,TICK,GBPCADi,1.65027,1.65273
1483395086,TICK,AUDCADi,0.96613,0.96696
1483395087,TICK,USDCHFi,1.02308,1.02399
1483395086,TICK,GBPAUDi,1.70767,1.70992
1483395089,TICK,EURUSDi,1.04561,1.04638
1483395088,TICK,EURAUDi,1.45458,1.45619
1483395088,TICK,USDJPYi,117.45900,117.48800
1483395088,TICK,AUDCADi,0.96613,0.96695
1483395088,TICK,USDCHFi,1.02307,1.02399
1483395088,TICK,GBPAUDi,1.70773,1.70982
1483395093,TICK,EURUSDi,1.04561,1.04637
1483395093,TICK,USDCHFi,1.02306,1.02397
1483395100,TICK,EURUSDi,1.04561,1.04631
1483395100,TICK,EURGBPi,0.85138,0.85184
1483395100,TICK,EURJPYi,122.83800,122.91000
1483395094,TICK,USDCADi,1.34431,1.34542
1483395098,TICK,USDJPYi,117.46300,117.48800
1483395094,TICK,AUDCADi,0.96608,0.96695
1483395094,TICK,USDCHFi,1.02306,1.02395
1483395102,TICK,EURUSDi,1.04561,1.04632
1483395101,TICK,EURJPYi,122.84000,122.91000
1483395101,TICK,USDCHFi,1.02310,1.02392
1483395103,TICK,EURUSDi,1.04561,1.04631
1483395108,TICK,EURUSDi,1.04562,1.04631
1483395108,TICK,EURJPYi,122.84000,122.91100
1483395108,TICK,AUDJPYi,84.40100,84.45400
1483395108,TICK,USDJPYi,117.46300,117.47800
1483395111,TICK,EURUSDi,1.04562,1.04636
1483395111,TICK,EURJPYi,122.84300,122.91100
1483395110,TICK,AUDJPYi,84.40600,84.45400
1483395110,TICK,USDJPYi,117.46800,117.48800
1483395109,TICK,USDCHFi,1.02308,1.02392
1483395112,TICK,EURUSDi,1.04562,1.04641
1483395111,TICK,AUDJPYi,84.40800,84.45400
1483395111,TICK,USDJPYi,117.46700,117.48800
1483395113,TICK,EURUSDi,1.04562,1.04643
1483395112,TICK,GBPUSDi,1.22767,1.22842
1483395112,TICK,EURJPYi,122.84200,122.91100
1483395112,TICK,USDJPYi,117.46300,117.48800
1483395112,TICK,GBPCADi,1.65030,1.65262
1483395112,TICK,GBPAUDi,1.70776,1.70972
1483395116,TICK,EURUSDi,1.04562,1.04644
1483395116,TICK,EURJPYi,122.83600,122.91100
1483395116,TICK,AUDJPYi,84.40400,84.45400
1483395116,TICK,USDJPYi,117.46000,117.47900
1483395115,TICK,USDCHFi,1.02308,1.02392
1483395117,TICK,EURUSDi,1.04562,1.04643
1483395117,TICK,AUDJPYi,84.40400,84.45200
1483395117,TICK,EURJPYi,122.83700,122.91100
1483395117,TICK,USDJPYi,117.45700,117.47900
1483395118,TICK,EURUSDi,1.04562,1.04643
1483395132,TICK,EURUSDi,1.04562,1.04642
1483395131,TICK,EURJPYi,122.82700,122.90600
1483395128,TICK,AUDJPYi,84.40500,84.44600
1483395125,TICK,EURAUDi,1.45438,1.45604
1483395131,TICK,USDCADi,1.34433,1.34555
1483395131,TICK,USDJPYi,117.43600,117.47700
1483395125,TICK,GBPCADi,1.65045,1.65307
1483395125,TICK,AUDCADi,0.96611,0.96727
1483395132,TICK,USDCHFi,1.02308,1.02392
1483395125,TICK,GBPAUDi,1.70748,1.70952
1483395133,TICK,EURUSDi,1.04562,1.04643
1483395137,TICK,EURUSDi,1.04562,1.04641
1483395136,TICK,AUDUSDi,0.71867,0.71890
1483395136,TICK,EURJPYi,122.83600,122.90500
1483395135,TICK,AUDJPYi,84.40700,84.45400
1483395134,TICK,USDJPYi,117.45200,117.48600
1483395134,TICK,USDCHFi,1.02310,1.02390
1483395135,TICK,GBPAUDi,1.70747,1.70951
1483395138,TICK,EURUSDi,1.04562,1.04643
1483395141,TICK,EURUSDi,1.04618,1.04637
1483395141,TICK,EURGBPi,0.85138,0.85194
1483395141,TICK,EURJPYi,122.84300,122.93000
1483395139,TICK,AUDJPYi,84.40900,84.45400
1483395140,TICK,EURAUDi,1.45461,1.45593
1483395140,TICK,USDJPYi,117.45600,117.48600
1483395140,TICK,AUDCADi,0.96617,0.96714
1483395140,TICK,GBPAUDi,1.70779,1.70936
1483395141,TICK,EURAUDi,1.45463,1.45594
1483395141,TICK,USDJPYi,117.45200,117.48600
1483395141,TICK,USDCHFi,1.02297,1.02390
1483395145,TICK,EURUSDi,1.04573,1.04653
1483395145,TICK,EURGBPi,0.85140,0.85184
1483395145,TICK,EURJPYi,122.85000,122.90500
1483395145,TICK,EURAUDi,1.45452,1.45645
1483395145,TICK,USDJPYi,117.45200,117.48600
1483395142,TICK,USDCHFi,1.02297,1.02389
1483395145,TICK,USDCHFi,1.02309,1.02389
1483395146,TICK,EURUSDi,1.04561,1.04642
1483395148,TICK,EURUSDi,1.04561,1.04644
1483395147,TICK,EURJPYi,122.83600,122.90500
1483395147,TICK,EURAUDi,1.45466,1.45630
1483395147,TICK,USDJPYi,117.45200,117.48600
1483395147,TICK,USDCHFi,1.02311,1.02389
1483395150,TICK,EURUSDi,1.04561,1.04643
1483395149,TICK,EURJPYi,122.83500,122.90500
1483395150,TICK,AUDJPYi,84.40500,84.45200
1483395149,TICK,USDJPYi,117.44500,117.47600
1483395150,TICK,USDCHFi,1.02311,1.02389
1483395162,TICK,EURUSDi,1.04561,1.04638
1483395161,TICK,EURJPYi,122.82900,122.90500
1483395154,TICK,AUDJPYi,84.40500,84.44800
1483395160,TICK,USDCADi,1.34430,1.34555
1483395160,TICK,USDJPYi,117.44300,117.47600
1483395160,TICK,GBPCADi,1.65034,1.65284
1483395160,TICK,AUDCADi,0.96613,0.96703
1483395154,TICK,USDCHFi,1.02313,1.02389
1483395152,TICK,GBPAUDi,1.70778,1.70936
1483395163,TICK,EURUSDi,1.04561,1.04635
1483395164,TICK,EURUSDi,1.04561,1.04634
1483395164,TICK,EURJPYi,122.82700,122.90500
1483395164,TICK,AUDJPYi,84.40500,84.44700
1483395178,TICK,EURUSDi,1.04561,1.04635
1483395177,TICK,EURJPYi,122.82000,122.90000
1483395174,TICK,AUDJPYi,84.40500,84.44600
1483395176,TICK,USDJPYi,117.43500,117.47300
1483395196,TICK,EURUSDi,1.04561,1.04653
1483395188,TICK,GBPUSDi,1.22769,1.22837
1483395196,TICK,EURJPYi,122.83200,122.90000
1483395192,TICK,AUDJPYi,84.40000,84.44500
1483395185,TICK,USDCADi,1.34430,1.34539
1483395196,TICK,USDJPYi,117.45800,117.47300
1483395188,TICK,GBPCADi,1.65038,1.65253
1483395185,TICK,AUDCADi,0.96613,0.96693
1483395188,TICK,GBPAUDi,1.70781,1.70931
1483395198,TICK,EURUSDi,1.04561,1.04652
1483395198,TICK,EURJPYi,122.83300,122.90000
1483395198,TICK,USDJPYi,117.45700,117.47300
